line 1   0
line 2   1 0>1 00000
line 3   1 0>2 00100 00101
line 4   1 0>3 00200 00201 00202
line 5   1 0>4 00300 00301 00302 00303
line 6   1 0>5 00400 00401 00402 00403 00404
line 7   1 0>1 00500
line 8   1 0>2 00600 00601
line 9   1 0>3 00700 00701 00702
line 10  1 0>4 00800 00801 00802 00803
line 11  1 0>5 00900 00901 00902 00903 00904
line 12  2 0>1 00000 1>2 00010 00011
line 13  2 0>2 00100 00101 1>3 00110 00111 00112
line 14  2 0>3 00200 00201 00202 1>4 00210 00211 00212 00213
line 15  2 0>4 00300 00301 00302 00303 1>5 00310 00311 00312 00313 00314
line 16  2 0>5 00400 00401 00402 00403 00404 1>1 00410
line 17  2 0>1 00500 1>2 00510 00511
line 18  2 0>2 00600 00601 1>3 00610 00611 00612
line 19  2 0>3 00700 00701 00702 1>4 00710 00711 00712 00713
line 20  2 0>4 00800 00801 00802 00803 1>5 00810 00811 00812 00813 00814
line 21  2 0>5 00900 00901 00902 00903 00904 1>1 00910
line 22  3 0>1 00000 1>2 00010 00011 2>3 00020 00021 00022
line 23  3 0>2 00100 00101 1>3 00110 00111 00112 2>4 00120 00121 00122 00123
line 24  3 0>3 00200 00201 00202 1>4 00210 00211 00212 00213 2>5 00220 00221 00222 00223 00224
line 25  3 0>4 00300 00301 00302 00303 1>5 00310 00311 00312 00313 00314 2>1 00320
line 26  3 0>5 00400 00401 00402 00403 00404 1>1 00410 2>2 00420 00421
line 27  3 0>1 00500 1>2 00510 00511 2>3 00520 00521 00522
line 28  3 0>2 00600 00601 1>3 00610 00611 00612 2>4 00620 00621 00622 00623
line 29  3 0>3 00700 00701 00702 1>4 00710 00711 00712 00713 2>5 00720 00721 00722 00723 00724
line 30  3 0>4 00800 00801 00802 00803 1>5 00810 00811 00812 00813 00814 2>1 00820
line 31  3 0>5 00900 00901 00902 00903 00904 1>1 00910 2>2 00920 00921
line 32  4 0>1 00000 1>2 00010 00011 2>3 00020 00021 00022 3>4 00030 00031 00032 00033
line 33  4 0>2 00100 00101 1>3 00110 00111 00112 2>4 00120 00121 00122 00123 3>5 00130 00131 00132 00133 00134
line 34  4 0>3 00200 00201 00202 1>4 00210 00211 00212 00213 2>5 00220 00221 00222 00223 00224 3>1 00230
line 35  4 0>4 00300 00301 00302 00303 1>5 00310 00311 00312 00313 00314 2>1 00320 3>2 00330 00331
line 36  4 0>5 00400 00401 00402 00403 00404 1>1 00410 2>2 00420 00421 3>3 00430 00431 00432
line 37  4 0>1 00500 1>2 00510 00511 2>3 00520 00521 00522 3>4 00530 00531 00532 00533
line 38  4 0>2 00600 00601 1>3 00610 00611 00612 2>4 00620 00621 00622 00623 3>5 00630 00631 00632 00633 00634
line 39  4 0>3 00700 00701 00702 1>4 00710 00711 00712 00713 2>5 00720 00721 00722 00723 00724 3>1 00730
line 40  4 0>4 00800 00801 00802 00803 1>5 00810 00811 00812 00813 00814 2>1 00820 3>2 00830 00831
line 41  4 0>5 00900 00901 00902 00903 00904 1>1 00910 2>2 00920 00921 3>3 00930 00931 00932
